city,lon_0,lat_0
Ainsworth,-99.859022,42.547421
Arapahoe,-99.899839,40.303959
Arlington,-96.357246,41.454244
Aroura,-98.003537,40.866716
Bassett,-99.537342,42.583787
Benkelman,-101.533660,40.050615
Blair,-96.134383,41.545562
Blair,-96.134383,41.545562
Bridgeport,-103.098787,41.667643
Broken Bow,-99.641312,41.404768
Callaway,-99.923179,41.291348
Crawford,-103.412297,42.683617
David City,-97.126457,41.254543
Elgin,-98.081696,41.983744
Elkhorn,-96.239294,41.278642
Elwood,-99.860603,40.588632
Fairbury,-97.177545,40.140917
Friend,-97.285731,40.652095
Genoa,-97.732455,41.447638
Gothenburg,-100.159381,40.931560
Grant,-101.726109,40.844405
Gretna,-96.244947,41.138898
Hayes Center,-101.020422,40.511278
Hebron,-97.586574,40.168345
Imperial,-101.642491,40.518398
Kimball,-103.659463,41.233693
Lyons,-96.472255,41.936110
Milford,-97.052311,40.772010
Nelson,-98.066750,40.202000
North Bend,-96.780874,41.464285
Oakland,-96.466075,41.835133
Ord,-98.929962,41.602553
Pawnee City,-96.153553,40.110603
Plainview,-97.787239,42.352729
Ravenna,-98.913347,41.027700
Schuyler,-97.060195,41.448916
Seward,-97.096972,40.911216
Springview,-99.748055,42.823639
Superior,-98.067010,40.022415
Tecumseh,-96.191639,40.370061
Tekamah,-96.222546,41.778008
Tilden,-97.833599,42.045297
Trenton,-101.013723,40.176241
Valentine,-100.550308,42.873686
Verdigre,-98.034118,42.596437
Wauneta,-101.372019,40.417072
Wayne,-97.017019,42.235990
West Point,-96.711406,41.839635
Wilber,-96.962376,40.481838
